Retailer,Retailer ID,Invoice Date,Region,State,City,Beverage Brand,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin
CVS,1005,2024-01-02,Midwest,Ohio,Columbus,Sprite,Sprite 1.5L,1.52,124,188.48,55.3,29.34
Walgreens,1006,2024-01-02,Northeast,Pennsylvania,Philadelphia,Diet Coke,Diet Coke 1.5L,3.41,107,364.87,133.94,36.71
Target,1002,2024-01-02,Southeast,Virginia,Richmond,Coca-Cola,Coca-Cola Classic 33cl,2.47,52,128.44,49.17,38.28
Target,1002,2024-01-02,Northeast,New York,New York City,Fanta,Fanta Orange 33cl,1.51,262,395.62,100.61,25.43
Target,1002,2024-01-02,West,California,Los Angeles,Coca-Cola Zero Sugar,Coke Zero 33cl,1.68,286,480.48,190.22,39.59
Costco,1004,2024-01-03,Southeast,North Carolina,Charlotte,Coca-Cola,Coca-Cola 2L,3.31,303,1002.93,221.85,22.12
Target,1002,2024-01-03,West,Washington,Seattle,Dasani Water,Dasani 1L,1.83,344,629.52,210.45,33.43
Walmart,1001,2024-01-03,South,Florida,Miami,Dasani Water,Dasani 1L,2.65,342,906.3,205.73,22.7
Walmart,1001,2024-01-03,South,Texas,Houston,Diet Coke,Diet Coke 33cl,2.51,166,416.66,166.66,40.0
Walgreens,1006,2024-01-03,Midwest,Illinois,Chicago,Coca-Cola,Coca-Cola 1.5L,3.42,273,933.66,285.14,30.54
CVS,1005,2024-01-03,Southeast,North Carolina,Charlotte,Powerade,Powerade Red 50cl,3.42,87,297.54,71.5,24.03
Walgreens,1006,2024-01-03,Southeast,North Carolina,Charlotte,Dasani Water,Dasani 50cl,2.09,189,395.01,159.27,40.32
Costco,1004,2024-01-03,Midwest,Michigan,Detroit,Powerade,Powerade Blue 50cl,2.78,258,717.24,300.09,41.84
Kroger,1003,2024-01-03,Southeast,Tennessee,Nashville,Diet Coke,Diet Coke 1.5L,2.27,127,288.29,111.31,38.61
Target,1002,2024-01-03,South,Texas,Houston,Dasani Water,Dasani 1L,3.17,174,551.58,117.82,21.36
Costco,1004,2024-01-03,Northeast,Pennsylvania,Philadelphia,Dasani Water,Dasani 50cl,2.19,120,262.8,67.78,25.79
Walmart,1001,2024-01-03,Northeast,Pennsylvania,Philadelphia,Fanta,Fanta Orange 33cl,1.64,179,293.56,87.07,29.66
Walmart,1001,2024-01-04,Midwest,Ohio,Columbus,Diet Coke,Diet Coke 1.5L,2.55,60,153.0,63.77,41.68
CVS,1005,2024-01-04,West,Washington,Seattle,Coca-Cola,Coca-Cola Classic 33cl,1.57,314,492.98,170.97,34.68
Target,1002,2024-01-04,Southeast,Tennessee,Nashville,Dasani Water,Dasani 1L,1.21,400,484.0,98.01,20.25
Walgreens,1006,2024-01-04,Southeast,North Carolina,Charlotte,Coca-Cola,Coca-Cola 2L,1.62,34,55.08,19.23,34.91
Target,1002,2024-01-04,Midwest,Ohio,Columbus,Diet Coke,Diet Coke 33cl,2.95,216,637.2,248.64,39.02
Target,1002,2024-01-04,Midwest,Ohio,Columbus,Coca-Cola Zero Sugar,Coke Zero 1.5L,1.51,39,58.89,18.52,31.45
Walgreens,1006,2024-01-04,West,Arizona,Phoenix,Sprite,Sprite 1.5L,2.67,214,571.38,212.15,37.13
Walgreens,1006,2024-01-04,South,Florida,Miami,Coca-Cola Zero Sugar,Coke Zero 33cl,2.29,44,100.76,28.26,28.05
Target,1002,2024-01-04,Northeast,Pennsylvania,Philadelphia,Coca-Cola,Coca-Cola 1.5L,0.99,317,313.83,114.96,36.63
Walgreens,1006,2024-01-04,South,Georgia,Atlanta,Coca-Cola Zero Sugar,Coke Zero 1.5L,2.45,157,384.65,111.66,29.03
Kroger,1003,2024-01-05,Southeast,Virginia,Richmond,Coca-Cola,Coca-Cola Classic 33cl,1.23,50,61.5,15.07,24.51
Costco,1004,2024-01-05,Northeast,Massachusetts,Boston,Sprite,Sprite 1.5L,1.73,40,69.2,17.54,25.34
Target,1002,2024-01-05,Midwest,Illinois,Chicago,Fanta,Fanta Orange 33cl,2.48,177,438.96,118.39,26.97
Walgreens,1006,2024-01-05,South,Texas,Houston,Sprite,Sprite 33cl,1.62,239,387.18,143.99,37.19
Walmart,1001,2024-01-05,Southeast,Virginia,Richmond,Coca-Cola,Coca-Cola 1.5L,2.68,145,388.6,154.43,39.74
Walgreens,1006,2024-01-05,Southeast,North Carolina,Charlotte,Coca-Cola Zero Sugar,Coke Zero 33cl,2.57,189,485.73,189.48,39.01
Kroger,1003,2024-01-05,Southeast,Virginia,Richmond,Diet Coke,Diet Coke 1.5L,0.88,144,126.72,45.94,36.25
Walmart,1001,2024-01-05,Southeast,Virginia,Richmond,Coca-Cola Zero Sugar,Coke Zero 1.5L,1.22,331,403.82,99.1,24.54
Walmart,1001,2024-01-06,Southeast,Virginia,Richmond,Powerade,Powerade Blue 50cl,1.09,233,253.97,98.59,38.82
Target,1002,2024-01-06,South,Florida,Miami,Coca-Cola Zero Sugar,Coke Zero 33cl,0.83,138,114.54,35.0,30.56
CVS,1005,2024-01-06,Northeast,New York,New York City,Coca-Cola Zero Sugar,Coke Zero 33cl,3.17,251,795.67,174.01,21.87
Target,1002,2024-01-06,South,Texas,Houston,Coca-Cola,Coca-Cola Classic 33cl,2.6,95,247.0,100.26,40.59
Walmart,1001,2024-01-06,West,Washington,Seattle,Coca-Cola Zero Sugar,Coke Zero 1.5L,1.5,324,486.0,114.36,23.53
CVS,1005,2024-01-06,South,Florida,Miami,Sprite,Sprite 1.5L,2.07,233,482.31,190.42,39.48
Kroger,1003,2024-01-06,South,Georgia,Atlanta,Coca-Cola,Coca-Cola Classic 33cl,1.31,488,639.28,147.55,23.08
Walmart,1001,2024-01-06,Midwest,Ohio,Columbus,Diet Coke,Diet Coke 1.5L,2.52,193,486.36,200.23,41.17
Walmart,1001,2024-01-06,South,Georgia,Atlanta,Dasani Water,Dasani 50cl,2.83,373,1055.59,423.4,40.11
CVS,1005,2024-01-06,Northeast,Massachusetts,Boston,Powerade,Powerade Red 50cl,2.95,91,268.45,65.34,24.34
Walgreens,1006,2024-01-06,Southeast,Tennessee,Nashville,Coca-Cola,Coca-Cola Classic 33cl,1.29,255,328.95,129.11,39.25
Target,1002,2024-01-06,South,Texas,Houston,Coca-Cola,Coca-Cola 2L,0.82,307,251.74,56.29,22.36
Walmart,1001,2024-01-06,West,Washington,Seattle,Coca-Cola Zero Sugar,Coke Zero 1.5L,1.76,350,616.0,155.85,25.3
Costco,1004,2024-01-06,West,Arizona,Phoenix,Fanta,Fanta Orange 1.5L,3.13,101,316.13,64.81,20.5
Costco,1004,2024-01-06,Southeast,Virginia,Richmond,Powerade,Powerade Blue 50cl,2.0,335,670.0,266.12,39.72
Costco,1004,2024-01-07,Northeast,New York,New York City,Fanta,Fanta Orange 1.5L,0.96,140,134.4,51.53,38.34
Target,1002,2024-01-07,Midwest,Michigan,Detroit,Coca-Cola Zero Sugar,Coke Zero 1.5L,2.59,186,481.74,201.56,41.84
Walmart,1001,2024-01-07,Northeast,Massachusetts,Boston,Diet Coke,Diet Coke 33cl,2.42,159,384.78,145.49,37.81
Costco,1004,2024-01-07,Midwest,Illinois,Chicago,Fanta,Fanta Orange 33cl,2.88,344,990.72,238.27,24.05
CVS,1005,2024-01-07,Southeast,Virginia,Richmond,Coca-Cola,Coca-Cola Classic 33cl,1.67,364,607.88,220.84,36.33
Costco,1004,2024-01-07,West,Washington,Seattle,Diet Coke,Diet Coke 1.5L,0.9,215,193.5,55.11,28.48
Costco,1004,2024-01-07,Midwest,Ohio,Columbus,Dasani Water,Dasani 1L,2.72,246,669.12,203.75,30.45
Kroger,1003,2024-01-07,Midwest,Michigan,Detroit,Coca-Cola Zero Sugar,Coke Zero 33cl,2.44,272,663.68,220.81,33.27
Walmart,1001,2024-01-07,Northeast,Pennsylvania,Philadelphia,Coca-Cola Zero Sugar,Coke Zero 1.5L,2.81,152,427.12,124.25,29.09
Walgreens,1006,2024-01-07,South,Georgia,Atlanta,Coca-Cola,Coca-Cola 2L,1.75,280,490.0,187.33,38.23
Target,1002,2024-01-07,South,Georgia,Atlanta,Coca-Cola Zero Sugar,Coke Zero 33cl,3.28,143,469.04,100.14,21.35
Kroger,1003,2024-01-08,West,Washington,Seattle,Dasani Water,Dasani 1L,3.34,246,821.64,308.77,37.58
Kroger,1003,2024-01-08,South,Georgia,Atlanta,Fanta,Fanta Orange 1.5L,3.43,143,490.49,204.58,41.71
Kroger,1003,2024-01-08,West,California,Los Angeles,Sprite,Sprite 33cl,1.14,200,228.0,93.59,41.05
Walmart,1001,2024-01-08,West,California,Los Angeles,Powerade,Powerade Blue 50cl,2.57,139,357.23,136.57,38.23
CVS,1005,2024-01-08,West,California,Los Angeles,Coca-Cola Zero Sugar,Coke Zero 1.5L,3.08,229,705.32,150.3,21.31
Costco,1004,2024-01-08,South,Florida,Miami,Fanta,Fanta Orange 1.5L,0.91,162,147.42,61.68,41.84
Walgreens,1006,2024-01-08,Northeast,Pennsylvania,Philadelphia,Powerade,Powerade Red 50cl,2.6,94,244.4,63.67,26.05
Kroger,1003,2024-01-08,Midwest,Ohio,Columbus,Coca-Cola,Coca-Cola Classic 33cl,1.94,30,58.2,15.16,26.05
Target,1002,2024-01-09,Northeast,Pennsylvania,Philadelphia,Fanta,Fanta Orange 1.5L,2.11,192,405.12,168.49,41.59
CVS,1005,2024-01-09,West,Arizona,Phoenix,Powerade,Powerade Red 50cl,3.45,229,790.05,263.4,33.34
Target,1002,2024-01-09,South,Texas,Houston,Powerade,Powerade Blue 50cl,2.75,342,940.5,372.06,39.56
Costco,1004,2024-01-09,Midwest,Ohio,Columbus,Sprite,Sprite 33cl,1.74,63,109.62,22.67,20.68
CVS,1005,2024-01-09,South,Texas,Houston,Diet Coke,Diet Coke 33cl,1.46,150,219.0,76.45,34.91
CVS,1005,2024-01-09,South,Georgia,Atlanta,Sprite,Sprite 33cl,3.12,177,552.24,218.58,39.58
Walmart,1001,2024-01-09,Southeast,Tennessee,Nashville,Dasani Water,Dasani 1L,0.89,437,388.93,85.06,21.87
Walmart,1001,2024-01-09,West,California,Los Angeles,Powerade,Powerade Blue 50cl,1.06,61,64.66,15.17,23.46
CVS,1005,2024-01-09,Northeast,New York,New York City,Diet Coke,Diet Coke 33cl,2.99,212,633.88,168.42,26.57
Walmart,1001,2024-01-09,Midwest,Ohio,Columbus,Sprite,Sprite 1.5L,0.88,267,234.96,82.24,35.0
Walmart,1001,2024-01-09,Northeast,New York,New York City,Coca-Cola Zero Sugar,Coke Zero 33cl,1.3,227,295.1,89.33,30.27
Walmart,1001,2024-01-10,South,Texas,Houston,Fanta,Fanta Orange 1.5L,1.55,39,60.45,20.52,33.94
CVS,1005,2024-01-10,West,Washington,Seattle,Powerade,Powerade Red 50cl,3.13,298,932.74,283.83,30.43
Target,1002,2024-01-10,West,California,Los Angeles,Fanta,Fanta Orange 1.5L,0.9,364,327.6,116.43,35.54
Kroger,1003,2024-01-10,Northeast,Massachusetts,Boston,Sprite,Sprite 1.5L,1.59,354,562.86,154.67,27.48
Walgreens,1006,2024-01-10,Northeast,Pennsylvania,Philadelphia,Powerade,Powerade Red 50cl,1.92,141,270.72,110.45,40.8
CVS,1005,2024-01-10,Northeast,New York,New York City,Dasani Water,Dasani 1L,0.96,102,97.92,22.73,23.21
Target,1002,2024-01-10,Midwest,Ohio,Columbus,Sprite,Sprite 33cl,2.92,31,90.52,35.6,39.33
Target,1002,2024-01-10,Northeast,Massachusetts,Boston,Diet Coke,Diet Coke 1.5L,2.4,473,1135.2,314.45,27.7
Costco,1004,2024-01-10,West,Washington,Seattle,Powerade,Powerade Red 50cl,2.22,276,612.72,173.34,28.29
Kroger,1003,2024-01-10,Midwest,Michigan,Detroit,Sprite,Sprite 33cl,2.75,199,547.25,184.48,33.71
Kroger,1003,2024-01-11,West,Washington,Seattle,Fanta,Fanta Orange 1.5L,2.93,288,843.84,312.22,37.0
Costco,1004,2024-01-11,South,Florida,Miami,Sprite,Sprite 33cl,2.39,208,497.12,162.01,32.59
Walgreens,1006,2024-01-11,South,Texas,Houston,Powerade,Powerade Red 50cl,1.49,181,269.69,59.04,21.89
Costco,1004,2024-01-11,Northeast,Massachusetts,Boston,Coca-Cola Zero Sugar,Coke Zero 1.5L,1.48,437,646.76,169.71,26.24
Costco,1004,2024-01-11,South,Texas,Houston,Diet Coke,Diet Coke 1.5L,3.1,133,412.3,171.85,41.68
Walmart,1001,2024-01-11,Southeast,Tennessee,Nashville,Sprite,Sprite 33cl,1.95,264,514.8,138.38,26.88
CVS,1005,2024-01-12,Northeast,Pennsylvania,Philadelphia,Dasani Water,Dasani 50cl,1.87,99,185.13,53.43,28.86
CVS,1005,2024-01-12,Northeast,New York,New York City,Coca-Cola Zero Sugar,Coke Zero 33cl,2.93,137,401.41,146.64,36.53
Walmart,1001,2024-01-12,South,Texas,Houston,Fanta,Fanta Orange 1.5L,3.44,144,495.36,145.39,29.35
Walmart,1001,2024-01-12,West,Washington,Seattle,Diet Coke,Diet Coke 1.5L,3.47,100,347.0,104.97,30.25
Target,1002,2024-01-12,South,Texas,Houston,Powerade,Powerade Red 50cl,1.78,109,194.02,46.31,23.87
Costco,1004,2024-01-12,Northeast,New York,New York City,Powerade,Powerade Blue 50cl,0.98,132,129.36,48.9,37.8
CVS,1005,2024-01-12,Northeast,Massachusetts,Boston,Dasani Water,Dasani 1L,2.89,56,161.84,55.11,34.05
Costco,1004,2024-01-12,South,Florida,Miami,Powerade,Powerade Red 50cl,3.2,193,617.6,194.73,31.53
Target,1002,2024-01-12,South,Texas,Houston,Coca-Cola,Coca-Cola 2L,2.94,44,129.36,30.13,23.29
Kroger,1003,2024-01-12,South,Florida,Miami,Dasani Water,Dasani 1L,2.07,58,120.06,41.83,34.84
Walgreens,1006,2024-01-12,South,Florida,Miami,Coca-Cola,Coca-Cola 2L,0.87,81,70.47,18.22,25.86
CVS,1005,2024-01-12,Northeast,Pennsylvania,Philadelphia,Diet Coke,Diet Coke 1.5L,2.81,337,946.97,236.17,24.94
CVS,1005,2024-01-12,Southeast,North Carolina,Charlotte,Fanta,Fanta Orange 33cl,3.19,189,602.91,185.94,30.84
CVS,1005,2024-01-13,West,California,Los Angeles,Coca-Cola Zero Sugar,Coke Zero 1.5L,1.3,162,210.6,58.5,27.78
Kroger,1003,2024-01-13,West,Arizona,Phoenix,Dasani Water,Dasani 50cl,3.48,195,678.6,146.51,21.59
CVS,1005,2024-01-13,Southeast,North Carolina,Charlotte,Diet Coke,Diet Coke 1.5L,0.99,181,179.19,73.56,41.05
CVS,1005,2024-01-13,South,Georgia,Atlanta,Coca-Cola Zero Sugar,Coke Zero 1.5L,3.34,65,217.1,68.84,31.71
CVS,1005,2024-01-13,Midwest,Ohio,Columbus,Sprite,Sprite 33cl,1.44,177,254.88,98.59,38.68
Walgreens,1006,2024-01-13,Midwest,Illinois,Chicago,Sprite,Sprite 1.5L,2.3,242,556.6,178.56,32.08
Walmart,1001,2024-01-13,Midwest,Illinois,Chicago,Coca-Cola Zero Sugar,Coke Zero 33cl,3.11,369,1147.59,327.98,28.58
Walmart,1001,2024-01-14,South,Texas,Houston,Powerade,Powerade Red 50cl,1.78,109,194.02,46.93,24.19
CVS,1005,2024-01-14,West,California,Los Angeles,Coca-Cola,Coca-Cola Classic 33cl,1.52,377,573.04,220.39,38.46
CVS,1005,2024-01-14,Northeast,Pennsylvania,Philadelphia,Powerade,Powerade Red 50cl,2.67,128,341.76,135.13,39.54
Walmart,1001,2024-01-14,West,Washington,Seattle,Fanta,Fanta Orange 33cl,2.66,390,1037.4,247.0,23.81
CVS,1005,2024-01-14,Midwest,Ohio,Columbus,Diet Coke,Diet Coke 1.5L,3.27,34,111.18,45.57,40.99
Target,1002,2024-01-14,Southeast,North Carolina,Charlotte,Sprite,Sprite 33cl,1.01,53,53.53,11.55,21.58
Kroger,1003,2024-01-14,South,Georgia,Atlanta,Diet Coke,Diet Coke 33cl,1.55,457,708.35,153.5,21.67
Target,1002,2024-01-14,Midwest,Michigan,Detroit,Coca-Cola,Coca-Cola Classic 33cl,1.19,250,297.5,75.18,25.27
Kroger,1003,2024-01-14,South,Texas,Houston,Sprite,Sprite 1.5L,1.08,67,72.36,21.51,29.73
Walgreens,1006,2024-01-14,Midwest,Ohio,Columbus,Sprite,Sprite 33cl,1.14,235,267.9,93.2,34.79
Target,1002,2024-01-15,West,Arizona,Phoenix,Powerade,Powerade Blue 50cl,2.58,197,508.26,207.62,40.85
Walmart,1001,2024-01-15,Midwest,Illinois,Chicago,Dasani Water,Dasani 50cl,0.88,436,383.68,161.07,41.98
CVS,1005,2024-01-15,West,Washington,Seattle,Coca-Cola Zero Sugar,Coke Zero 33cl,2.77,211,584.47,137.93,23.6
CVS,1005,2024-01-15,West,Washington,Seattle,Coca-Cola,Coca-Cola Classic 33cl,2.17,236,512.12,179.14,34.98
Target,1002,2024-01-15,South,Georgia,Atlanta,Diet Coke,Diet Coke 33cl,2.13,34,72.42,28.71,39.64
Costco,1004,2024-01-15,Southeast,Virginia,Richmond,Diet Coke,Diet Coke 33cl,3.3,55,181.5,74.67,41.14
Walgreens,1006,2024-01-15,Southeast,Tennessee,Nashville,Coca-Cola,Coca-Cola Classic 33cl,0.88,77,67.76,14.45,21.32
CVS,1005,2024-01-15,South,Texas,Houston,Powerade,Powerade Blue 50cl,1.47,174,255.78,57.19,22.36
Costco,1004,2024-01-15,Southeast,Virginia,Richmond,Dasani Water,Dasani 50cl,2.82,104,293.28,59.04,20.13
Kroger,1003,2024-01-15,Midwest,Ohio,Columbus,Dasani Water,Dasani 1L,2.44,417,1017.48,405.57,39.86
Kroger,1003,2024-01-16,West,Washington,Seattle,Sprite,Sprite 1.5L,2.42,88,212.96,72.85,34.21
Target,1002,2024-01-16,Southeast,Tennessee,Nashville,Diet Coke,Diet Coke 1.5L,1.66,408,677.28,143.58,21.2
CVS,1005,2024-01-16,South,Texas,Houston,Diet Coke,Diet Coke 33cl,0.84,376,315.84,121.72,38.54
Walmart,1001,2024-01-16,West,Washington,Seattle,Fanta,Fanta Orange 1.5L,3.21,296,950.16,335.98,35.36
Walgreens,1006,2024-01-16,Northeast,Pennsylvania,Philadelphia,Coca-Cola Zero Sugar,Coke Zero 33cl,3.32,130,431.6,89.95,20.84
CVS,1005,2024-01-16,Northeast,Pennsylvania,Philadelphia,Coca-Cola Zero Sugar,Coke Zero 33cl,3.17,343,1087.31,344.89,31.72
Target,1002,2024-01-17,South,Florida,Miami,Coca-Cola,Coca-Cola 2L,1.46,160,233.6,83.75,35.85
Walmart,1001,2024-01-17,Southeast,North Carolina,Charlotte,Diet Coke,Diet Coke 1.5L,1.89,38,71.82,23.97,33.37
CVS,1005,2024-01-17,South,Florida,Miami,Dasani Water,Dasani 50cl,1.17,345,403.65,105.07,26.03
Costco,1004,2024-01-17,Southeast,Virginia,Richmond,Coca-Cola,Coca-Cola 2L,2.28,201,458.28,188.17,41.06
Target,1002,2024-01-17,Northeast,Pennsylvania,Philadelphia,Powerade,Powerade Red 50cl,1.99,248,493.52,155.71,31.55
Walgreens,1006,2024-01-17,West,Arizona,Phoenix,Diet Coke,Diet Coke 1.5L,1.38,311,429.18,97.68,22.76
Walgreens,1006,2024-01-17,Southeast,Tennessee,Nashville,Powerade,Powerade Red 50cl,1.92,138,264.96,55.06,20.78
Target,1002,2024-01-17,Midwest,Illinois,Chicago,Dasani Water,Dasani 50cl,3.16,292,922.72,259.1,28.08
CVS,1005,2024-01-17,West,Washington,Seattle,Fanta,Fanta Orange 33cl,0.98,122,119.56,34.66,28.99
Target,1002,2024-01-17,West,California,Los Angeles,Sprite,Sprite 33cl,1.96,284,556.64,115.39,20.73
Costco,1004,2024-01-17,Northeast,New York,New York City,Fanta,Fanta Orange 33cl,3.12,287,895.44,216.16,24.14
Costco,1004,2024-01-18,West,California,Los Angeles,Coca-Cola Zero Sugar,Coke Zero 1.5L,0.86,33,28.38,9.06,31.92
Walgreens,1006,2024-01-18,West,Washington,Seattle,Diet Coke,Diet Coke 33cl,1.39,151,209.89,47.46,22.61
Kroger,1003,2024-01-18,Midwest,Ohio,Columbus,Fanta,Fanta Orange 33cl,2.84,177,502.68,188.81,37.56
CVS,1005,2024-01-18,Northeast,Massachusetts,Boston,Powerade,Powerade Blue 50cl,1.74,236,410.64,84.72,20.63
CVS,1005,2024-01-18,Northeast,Pennsylvania,Philadelphia,Coca-Cola Zero Sugar,Coke Zero 1.5L,1.73,241,416.93,144.47,34.65
Costco,1004,2024-01-18,Northeast,New York,New York City,Coca-Cola,Coca-Cola Classic 33cl,3.28,58,190.24,45.92,24.14
Walmart,1001,2024-01-18,Midwest,Illinois,Chicago,Powerade,Powerade Blue 50cl,1.0,327,327.0,129.13,39.49
Target,1002,2024-01-18,Southeast,Virginia,Richmond,Diet Coke,Diet Coke 1.5L,2.35,141,331.35,117.79,35.55
Costco,1004,2024-01-18,West,Washington,Seattle,Sprite,Sprite 33cl,1.17,96,112.32,25.01,22.27
Walmart,1001,2024-01-19,West,California,Los Angeles,Dasani Water,Dasani 50cl,3.42,274,937.08,349.44,37.29
Walmart,1001,2024-01-19,Northeast,Massachusetts,Boston,Coca-Cola,Coca-Cola 2L,3.46,183,633.18,232.57,36.73
Target,1002,2024-01-19,Midwest,Ohio,Columbus,Coca-Cola Zero Sugar,Coke Zero 33cl,1.6,281,449.6,120.49,26.8
Costco,1004,2024-01-19,Northeast,Massachusetts,Boston,Dasani Water,Dasani 1L,2.91,99,288.09,103.77,36.02
Walmart,1001,2024-01-19,Midwest,Ohio,Columbus,Sprite,Sprite 33cl,2.84,336,954.24,264.32,27.7
Walgreens,1006,2024-01-20,Midwest,Ohio,Columbus,Sprite,Sprite 33cl,2.86,220,629.2,160.07,25.44
Walgreens,1006,2024-01-20,Southeast,Virginia,Richmond,Dasani Water,Dasani 1L,1.35,87,117.45,38.52,32.8
Walgreens,1006,2024-01-20,West,California,Los Angeles,Dasani Water,Dasani 1L,0.84,157,131.88,41.19,31.23
Walmart,1001,2024-01-20,Southeast,Tennessee,Nashville,Coca-Cola Zero Sugar,Coke Zero 1.5L,0.86,365,313.9,118.31,37.69
Costco,1004,2024-01-20,Northeast,New York,New York City,Diet Coke,Diet Coke 1.5L,2.4,72,172.8,64.66,37.42
Walmart,1001,2024-01-20,Midwest,Michigan,Detroit,Fanta,Fanta Orange 1.5L,2.25,210,472.5,143.21,30.31
CVS,1005,2024-01-20,South,Florida,Miami,Fanta,Fanta Orange 1.5L,3.07,34,104.38,27.83,26.66
CVS,1005,2024-01-20,Northeast,Massachusetts,Boston,Diet Coke,Diet Coke 1.5L,1.58,327,516.66,186.82,36.16
Costco,1004,2024-01-20,Southeast,North Carolina,Charlotte,Diet Coke,Diet Coke 1.5L,3.29,183,602.07,142.75,23.71
Walgreens,1006,2024-01-20,Midwest,Ohio,Columbus,Sprite,Sprite 1.5L,2.31,367,847.77,267.98,31.61
Costco,1004,2024-01-21,Midwest,Ohio,Columbus,Sprite,Sprite 1.5L,0.92,360,331.2,92.57,27.95
Costco,1004,2024-01-21,Northeast,Pennsylvania,Philadelphia,Fanta,Fanta Orange 33cl,1.95,88,171.6,58.89,34.32
Walgreens,1006,2024-01-21,West,Washington,Seattle,Sprite,Sprite 1.5L,2.26,143,323.18,88.94,27.52
Walmart,1001,2024-01-21,South,Florida,Miami,Coca-Cola,Coca-Cola 2L,1.73,240,415.2,146.19,35.21
Walgreens,1006,2024-01-21,South,Texas,Houston,Sprite,Sprite 1.5L,2.51,49,122.99,50.16,40.78
Costco,1004,2024-01-21,Northeast,New York,New York City,Coca-Cola Zero Sugar,Coke Zero 33cl,0.97,466,452.02,154.0,34.07
Walmart,1001,2024-01-21,South,Georgia,Atlanta,Dasani Water,Dasani 50cl,0.94,39,36.66,12.61,34.39
Costco,1004,2024-01-21,South,Texas,Houston,Diet Coke,Diet Coke 33cl,2.29,362,828.98,318.08,38.37
Walmart,1001,2024-01-22,Northeast,Massachusetts,Boston,Coca-Cola,Coca-Cola 1.5L,1.43,283,404.69,109.06,26.95
Walgreens,1006,2024-01-22,Midwest,Illinois,Chicago,Dasani Water,Dasani 1L,1.25,494,617.5,181.11,29.33
Kroger,1003,2024-01-22,South,Texas,Houston,Dasani Water,Dasani 1L,2.58,38,98.04,34.83,35.53
CVS,1005,2024-01-23,South,Texas,Houston,Coca-Cola Zero Sugar,Coke Zero 1.5L,3.45,231,796.95,273.11,34.27
Walgreens,1006,2024-01-23,South,Georgia,Atlanta,Dasani Water,Dasani 1L,3.03,194,587.82,217.73,37.04
Walmart,1001,2024-01-23,Southeast,Tennessee,Nashville,Coca-Cola Zero Sugar,Coke Zero 33cl,3.07,324,994.68,336.3,33.81
Costco,1004,2024-01-23,Southeast,Virginia,Richmond,Dasani Water,Dasani 50cl,2.46,355,873.3,316.57,36.25
CVS,1005,2024-01-23,Northeast,New York,New York City,Coca-Cola Zero Sugar,Coke Zero 1.5L,3.29,140,460.6,109.16,23.7
Walmart,1001,2024-01-23,Midwest,Illinois,Chicago,Powerade,Powerade Red 50cl,2.27,395,896.65,236.89,26.42
CVS,1005,2024-01-23,West,Arizona,Phoenix,Powerade,Powerade Blue 50cl,1.52,237,360.24,81.02,22.49
Costco,1004,2024-01-23,Southeast,Virginia,Richmond,Powerade,Powerade Blue 50cl,2.71,204,552.84,136.99,24.78
